,star,reviews
82,4,Everything is fine performance is good build quality is nice but major minus is track pad its not at all working even though i try shorcut keys its not working you have to order extrnal mouse.. Touchpad is not working (Even i press FN+F3)
83,4,"performance is super, 🔋 back up and display also good, design is ok, got the product in big billion day at reasonable price, first time tried MSI by ignoring HP as I listened recently from many, they said performance wise MSI is the best. Now experiencing it, everything is good till today. writing this review after 1 month, has to see how long it will work better. thank you"
84,4,"Very good gaming laptop in this price range. There is one issue I faced when I play heavy games, The laptop heats a lot. Otherwise doing daily works its not get heated.
I have searched the gaming laptops quiet sometime. But this laptop is more updated on the previous one. I would suggest who is looking for i5 processor in a gaming laptop just go for it. You really liked this beast..."
85,5,"Initially i work on this laptop 12 hours and after i play game like fifa nfs its cool still now around last 2 week's i used pretty much happy with the laptop,there ate few things i miss like msi should provide atlist one more usb port.. because if you used a lot of gadgets then surely you will feel shortage of usb others still now can't complains about the laptop"
86,5,"I am writing this review after 3 month using this laptop. This is the best laptop in this price range the performance was superb. Reboot time is just 5 to 7 seconds. 65 watt charger charge the laptop with in 60 to 70 minutes. There was no noise from the fan in any condition. And one thing is missing form the laptop is back light keyboard. If you use this laptop in the night you cab face problem. Otherwise laptop is superb by looks, built quality and performance.
And one more thing you can't p..."
87,5,"Laptop is really amazing for all kinds of users except gamers. What I didn't like about the laptop is the keyboard,it doesn't have a back lit keyboard and the buttons don't look that good. Overall performance is 10/10.
I really loved this laptop."
88,5,"Best laptop in this price range .performance wise it is good but they should have given lifetime office because this variant doesn't come with graphics.mi should think about this like I am not buying this for playing games if it doesn't have graphics.so consider giving office free.
Otherwise it is good .go for it if you dont play games."
89,5,"Laptop is good but it looks bit small compared to other laptops and on the laptop ther is no logo or a sticker or branding, so it looks bit less satisfaction (not even a single sticker except i5 10 th gen) they should atleast highlight the features. AND There r 2 types in mi notebook 14 (difference is graphics card Intel UHD nd other one is UHD 620) but the laptop I ordered is having 620 ,when I checked the details it only written as UHD so will check some more details nd update the review.

..."
90,5,"Wow this is great.
I love it because it is too comfortable and useful for me.
Subscribe my YouTube channel THE K2 GAMER for my all features of laptop."
91,4,This has got decent specs with better display and looks and has premium finishing with a decent performance of 2.2ghz clocked that could be more 🥺 but can be over clocked upto 3.8ghz in some rare case😄🙂
92,4,"Look :- awesome
Price :- very reasonable
Performance:- very good nd fast restart time 18 sec to 20 sec
Display :- not so good some white area shining in black background which is common for most of laptop
Battery:- is ok ok but the time it mentions there about how long it will last that is fully wrong sometime show 8 hr in 1 min show 4 hours etc etc without any load on it."
93,5,"First, i love it finishing, design and display. It is with fast performance coz ssd. Also sound quality is the best than others."
94,4,"Writing this review after using for close to 2 months.

No major complaints.

1. but if the laptop come with separate keys for Home, page up/down , pratical usage would have been easy.
2. Bezel for screen at top and bottom are more.

Pros:
1. Performance is good for day to day tasks for browsing, study and working on projects.
2. Battery comes for 7 to 9 hours depending on battery mode.
3. No heating issue
4. Body is not plastic and looks good."
95,4,"After use 2 months I give an honest review.
Performance is awesome but not for gaming,
Pros-
1- Battery Backup is awesome 5/5
2- The display is also good.
3- Build quality is best 5/5
4- price is medium
5- shutdown and start very fast(reboot)
6- overall is good at this price

Cons
1- backlit is absent in this laptop at this price they should give backlit.
2- ports are less.
3- Not for Gaming
4- Not for video editing in high quality
5- MS office does not come from the company.
6- The camera q..."
96,5,"Best laptop ever in this price range...If you want to buy a laptop in this range just go for it...Thank you flipkart for safe, awesome and fastest delivery as always..."
97,5,Very nice and good received safelly. My daughter is satisfied for his on line exam. Thank you flip kart . Good service
98,5,I use it 3 days and it is so fast
99,4,"Pros:
*For this price performance is good.
*Nice resolution.
*Have good memory space
*Performance is better than i5 processor.

Cons:
*The keyboard is beyond worst.

Overall good choice for programmers,developers and many office uses."
100,4,It's good. If having decent budget go for this.
101,3,"As far as I m concern,the look and design is quite impressive. It is thin and light which really satisfied my desire, but it’s resolution is not good. After all it is really compact and cozy."
102,4,"The product is meeting expectations , but the display is rather bleak ,second thing is memory ram chipset . It is said the memory ram has frequency 2133 MHz ,but when start installing second memory chip I saw its Kingston 2666 MHz . Which is better then the description"
103,4,Best quality I love this
104,1,Worst product !
105,5,Everything is perfect except I can't connect my USB cable in USB port. When I connect the connection of cable is not stable.
106,5,This is the best laptop in this range.I recieved late delivery due to big billion sale but the waiting was worth it. I played The Witcher 3 and Far Cry 4 in ULTRA graphics and it was running super smooth without any lag. So for gaming its a Beast no doubt. After 2 days I was getting charging issue and the charging was very slow so I contacted HP support via whatsapp and they told me to update the BIOS and after updating it was back to super fast charging and even the system was running faster...
107,5,Good product as used of now.... Everything is good and also SSD slot is given for upgradation.... Only keys of Keyboard are not looking as reliable as other basic HP laptops....it has been a month now... I will use it for three months again and will update my review.....
108,5,AWESOME LAPTOP. It supports many high spec games like gta 5. Super quality. I liked it very much
109,4,"For that price... it's exceptionally good. Played Far Cry 4 at Ultra Graphics 1080p.. was super smooth. So was GTA V, Just Cause 4. So you can do pretty decent gaming. General PC performance is good. Photoshop 2020 (June) works perfectly and also other Adobe products. Display is super cool too. So yeah, a good system overall for that price."
110,4,"RAM upgrade is must do because the useable RAM is only 6GB, Ryzen 5 3550H is a great processor however eats up 2GB RAM in system, Due to that Heavy games like GTA 5 stutter, The FPS while gaming is good however stuttering happens when games doesn’t get enough RAM, Due to which I have to spend another 3.5K to put a 2nd 8GB ram stick. Rest all Is good Display is crisp Battey is good for gaming laptop anyway to play games chargers needs to be plugged in, Although the 5400 RPM HDD is quite slow m..."
111,5,"It's good gameing laptop in this price
Display is good battery backup is good
And I like keyboard 😁👌"
112,4,Best laptop in this price range... Believe me if you are willing to buy this laptop don't hesitate just go Nd buy it !! Booting takes 22 sec... If you want more faster then I will recommend you to go for ssd variant... Speed of HDD is not that slow people are reviewing above🙄... Nd wait wait wait people are also saying above ram is the problem only given 6 GB so every device have some pre installed software so non of the brand will provide u 8 out of 8 gbs 🤦♂️...there is no problem with the...
113,4,"The AMD APU is a disappointment.
If you guys don't know, the amd integrated graphics will reserve 2gb of your ram so you are left with 6gb instead of 8. HP has also locked their bios so we can't change vram settings either. It is what it is, I'll recommend that you should go for an Intel cpu if you can bcz amd might be cheaper but they will eat your hardware even though you are not using it at all so it's a waste of 1/4 of ram you paid for. Other than that Gtx1650 is a beast and ryzen 5 will ..."
114,5,"Its an absolute beast if u know what are the necessary steps to follow after completing the installation of your laptop...

Make sure you update all the drivers and specifically windows bios and nvidia drivers, because it enhances the performance very much , i myself have felt the same ...Just download a software called driver booster which is free and a great soft indeed it scans for all available driver updates and installs them , also it has a game turbo power option which releases some ra..."
115,4,"Okay so ive been using this laptop since a few days/weeks now and i really like it
1. The display is good
2. The Laptop runs smoothly
3. Upgradable which is a big pro
4. Great sound quality
5. beautiful build
6. Games work nicely
Cons
1. A little bit slow but that can be upgraded using a ram and ssd
2. I play fortnite and rocket league on it and they run smoothly but sometimes theres a frame drop which again can be solved by ssd and ram

Overall i would really say this is a great laptop"
116,5,This is super fast laptop in the budget segment. Good for school and college work. Due to SSD the speed is very fast. Can easily play games. Screen is very good but not great. Handles most of the daily work with pleasurest ease. Not sure if this can be used for video editing...but I hv seen videos which says so!!
117,4,"Laptop is really great. Before buying I was in confusion between Ryzen and Intel. After 7 days of usage, I felt no difference. I continuously use my laptop for office and movies at least 10 hours a day and didn't e even notice any heating problem. If you are looking for a laptop below 45k with good performance, just go for it."
118,5,Genuine product 😇😇😇😇😇
119,5,Best laptop
120,5,"nice product! Looks classy, superfast. But LAN port is missing in the laptop that's might be problematic for some people. Otherwise overall best in this price range with the given configurations."
121,5,Excellent
122,4,"1. display 4star
2. sound 5star
3. speed 4star
4. keyboard 5star
5. battery 4star
over all review 4 star
i bought for 45,990
but now it is 50,000 which is not actually value for money.
if it is available for 45000 aprox definately go for it.
good for student office use home use ."
123,5,"Very nice product ...
But not happy with the packing... Hope so will be improved for others..👍🏻"
124,5,Loving
125,5,Best product in this price. Useful for office related works.
126,4,"One of the underrated device with great performance and incredible design. 1TB ssd makes the system very smooth and it boots within 4-5 seconds.
Pros: light weight and compact design
Booting speed is amazing
Harman Kardon speakers
Average multi-tasking
Incredible battery

Cons:
After using it for 10 days only con which i see is that that screen is not upto the mark. Viewing angle is bad."
127,4,Nice slim laptop. Good boot up speed. Sound and display also quite good. Only problem i found was the heating issue.
128,5,"fair product at 50k price
could have been better if had a graphic card"
129,4,Best laptop
130,5,super product purchased in just 49990 in sale. Jst loved it. after using 10 days no complains. simply awesome. Got it delivered within 2 days. Thanks Flipkart.
131,4,Heating is main issue in this laptop. Everything else is ok .
132,3,Viewing angel is not good
133,4,Product is good. Some heating issue occurred. And everything is good. Design is excellent.
134,1,"Don't buy this one ... lagging is the main issue
Heating problem"
135,5,Awesome 🔥🔥
136,5,"I have been using it for the past 10 days and it is a superfast machine.

Pros:
Ryzen processor is top class and is super quick.
Build quality is top notch and it is quite stylish and has an elegant look.
Battery backup of this is second to none. U can use it for like 8-10 hours at full computing.
Fingerprint Scanner is quite good and not even once I faced any issue with that.
A lot of talk about display being poor but it is quite good and for normal use, it is quite sufficient and enough.
..."
137,5,"Superb Built quality , finish , battery life and performance...I would say best touch screen laptop in this range..It is not mentioned in product details but it comes with Stylus pen...which is very nice .... Overall I would say Value for money...Got it with offers for Rs 54,000"
138,4,One backdrop is the screen brightness only 250 nits
139,5,The best in the series!
140,5,"It’s a great value for money. Good performance, looks and very versatile. Sound is also good."
141,4,All is good but I feel ..its wifi range is low...if anybody feels the same please reply
142,5,"Awesome product. I never thought AMD is this powerful. I can almost perform all of my tasks.
Due to touch screen the display is glossy which creates a mirror like reflection at outdoors, this is the only CON observed so far."
143,3,I think it is very good except two things battery and heating problem
144,4,"Bought it after lot of research. Great laptop, efficient for coding and normal use."
145,5,"Build quality, design,and Super performance......"
146,5,"The best you can get, looks and performance both are to notch, supreme battery life, ultra fast speed. Display and sounds are fantastic, never seen any better till now. Till now it was, Apple was offering 7 at the price of 10, looks were alaways 10 out of 10 but now Apple is giving 15 at the price of 10.. Absolutely worth the price."
147,5,"At the current scenario where a proper Graphics card windows laptop is costing around 1.2 lakh at a min.
This MacBook Air M1 is the best deal and I got it around 82k so I received the best deal.
So we can now say Apple Laptop is cheaper in price than Windows."
148,5,"My first Macbook and no regret that I waited for this.
Sleek design, lightning speed, super light weight and silent as a wolf.
If you want to have a laptop that is super cool in look as well as performance, go for it."
149,5,"Ultimate machine, best laptop I have ever used hands down. M1 macbook air is more powerful than any previous generation Mac or any Windows laptop. Awesome purchase. Thank you Flipkart"
150,5,"So it’s the best computer in the world rite now Period.
You don’t need to worry about anything and I’m not gonna say about performance cause there are a lot of videos on YouTube already and of course there are other upgrades you can do to your laptop may be you need pro but this is nothing less..
thanks to Flipkart for amazing and timely and secure delivery
Great service keep the good work and keep getting better👍🏼"
151,5,"Amazing product, I think most of people won't need more than this. It provides best value for money. I am using this for mobile app development and it works like charm."
152,5,"The M1 macbook air is the best value for money. Amazing speed, gorgeous display, superb endurance and best in class aesthetics. If u are a non gamer and buying a laptop for serious work, this beast is the one to get( not even macbook pro, since benchmark scores are negligible). A small heads up: The upcoming M2 mac airs are even more powerful but are also costlier and come in garish colours which i personally dislike. So don't wait for the next gen. Just get the M1 air now. U won't be disappo..."
